candidate_id,park_id,park_name,amap_poi_id,poi_name,standard_categories,amap_keywords,amap_type,amap_typecode,address,business_area,longitude,latitude,min_distance_m,distance_band,rating,cost_yuan,opentime_today,opentime_week,tel,source_query_ids,pdf_seed_match_status,pdf_seed_poi_record_ids,pdf_seed_poi_names,in_park_status,validation_status,confidence,notes
AMAP-POI-0029,sample_olympic_forest,奥林匹克森林公园,B000AA1DOY,苏摩瑜伽(安立路店),yoga_pilates,瑜伽,体育休闲服务;运动场馆;健身中心,080111,安立路66安立写字楼B座(安立路地铁站B东北口步行100米),北辰,116.408303,40.003553,2171,1501-3000m,3.0,,,,010-64907821,os_yoga,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0030,sample_olympic_forest,奥林匹克森林公园,B000AA3W5B,优个网直营店,sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,第五大道日购商城3层新华书店内(安立路地铁站A2西北口旁),北辰,116.406425,40.003025,2121,1501-3000m,4.1,,09:00-19:30,周一至周五 09:00-19:30；周六至周日 09:00-18:00,010-64804588;4000996400,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0031,sample_olympic_forest,奥林匹克森林公园,B0FFF3O6ID,中国科学技术馆-观众餐厅,restaurant,餐厅,餐饮服务;中餐厅;中餐厅,050100,北辰东路5号中国科学技术馆内,北辰,116.398478,40.006021,1504,1501-3000m,4.2,47.00,09:00-17:00,周二至周日 09:00-17:00,010-59041000,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0032,sample_olympic_forest,奥林匹克森林公园,B0FFF65ON3,静馨瑜伽(北苑路北店),yoga_pilates,瑜伽;普拉提,体育休闲服务;运动场馆;健身中心,080111,林萃东路2号院国奥中心三层,北辰,116.381678,40.009541,1350,1001-1500m,4.4,102.00,08:30-21:00,周一至周日 08:30-21:00,18601978866,os_yoga;os_pilates,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0033,sample_olympic_forest,奥林匹克森林公园,B0FFF6X7AP,COSTA COFFEE(北投新奥购物中心店),coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,湖景东路9号北投新奥购物中心B区H1层H1-93-02,北辰,116.394255,40.000206,2059,1501-3000m,4.6,34.00,08:00-22:00,周一至周日 08:00-22:00,010-84378772,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0034,sample_olympic_forest,奥林匹克森林公园,B0FFFD24NW,孔雀花园餐厅,restaurant,餐厅,餐饮服务;外国餐厅;西餐厅(综合风味),050201,紫玉东路一号紫玉山庄内的餐厅停车场,,116.410017,40.011455,1719,1501-3000m,4.6,366.00,11:00-21:00 11:00-21:00,周一至周日 11:00-21:00 2026-05-01至2026-05-05 周一至周日 11:00-21:00,13810814773,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0035,sample_olympic_forest,奥林匹克森林公园,B0FFFH0AYS,LAWSON罗森(北投新奥购物中心店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,天辰东路8-10-12号B5区域,北辰,116.392461,40.000081,2065,1501-3000m,4.5,,06:00-23:00,周一至周日 06:00-23:00,010-84374563;13910240318;4008206390,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0036,sample_olympic_forest,奥林匹克森林公园,B0FFGB2XII,心地瑜伽(亚运村店),yoga_pilates,瑜伽,体育休闲服务;运动场馆;健身中心,080111,大屯北路与安立路辅路交叉口东120米,亚运村,116.409625,40.005425,2092,1501-3000m,4.6,145.00,07:30-21:30,周一至周五 07:30-21:30；周六至周日 08:00-20:30,010-64827566,os_yoga,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0037,sample_olympic_forest,奥林匹克森林公园,B0FFGDK7D2,国家会议中心大酒店-咖啡厅,coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,北辰西路8号院1号楼国家会议中心大酒店2层,北辰,116.388033,40.001609,1927,1501-3000m,3.9,76.00,06:30-22:00,周一至周日 06:30-22:00,010-84372008,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0038,sample_olympic_forest,奥林匹克森林公园,B0FFGFEPKR,星巴克(陈家营西路店),tea_drink,茶饮,餐饮服务;咖啡厅;星巴克咖啡,050501,北京城区北京城区陈家营西路3号院23号楼招商嘉铭珑原商业楼1层101-2单元,东小口,116.401328,40.040615,2568,1501-3000m,4.6,30.00,07:00-18:00,周一至周日 07:00-18:00,010-64696320,os_tea,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0039,sample_olympic_forest,奥林匹克森林公园,B0FFGJOSNQ,来跑吧运动服务中心(奥森店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,奥林匹克森林公园南园(东南角),,116.396698,40.010826,951,501-1000m,4.2,,08:00-21:00,周一至周日 08:00-21:00,010-64529385,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0040,sample_olympic_forest,奥林匹克森林公园,B0FFH270NP,北京奥林匹克公园中心区综合服务站便利店(科荟路店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,奥林匹克公园科荟路1号站,鸟巢,116.392759,40.009864,977,501-1000m,3.9,,06:00-22:00,周一至周日 06:00-22:00,,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0041,sample_olympic_forest,奥林匹克森林公园,B0FFH8HO4I,心都瑜伽(宝盛里店),yoga_pilates,普拉提,体育休闲服务;运动场馆;健身中心,080111,宝盛里中关村智诚科创大厦4层417号,清河,116.370520,40.037413,2787,1501-3000m,4.2,140.00,09:00-21:00,周一至周日 09:00-21:00,15701313221,os_pilates,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0042,sample_olympic_forest,奥林匹克森林公园,B0FFHC513F,月色码头·啤酒花园(新奥购物中心店),restaurant,餐厅,餐饮服务;中餐厅;中餐厅,050100,北辰东路15号(奥林匹克公园地铁站D东南口步行90米),北辰,116.394289,40.000573,2018,1501-3000m,4.5,109.00,16:00-02:00,周一至周日 16:00-02:00,18612037563,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0043,sample_olympic_forest,奥林匹克森林公园,B0FFHCE2HY,肯德基(大屯路店),fast_food,小吃快餐,餐饮服务;快餐厅;快餐厅,050300,北京城区3B号朝阳区北辰东路与大屯路交叉口西侧地下B1夹层与B1层B01M-03A&B01-03B号,北辰,116.399394,40.002932,1853,1501-3000m,4.5,36.00,08:00-22:00,周六至周日 10:00-22:00；周一至周五 08:00-22:00,18101221303,os_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0044,sample_olympic_forest,奥林匹克森林公园,B0FFHFXOWW,大成仓网羽(国网南区店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,林萃路2号奥林匹克森林公园南园(网球馆A馆/K区前台旁边),鸟巢,116.376539,40.011575,1546,1501-3000m,4.4,,09:00-20:00,周六至周日 09:00-20:00；周一至周五 13:00-20:00,18501070730,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0045,sample_olympic_forest,奥林匹克森林公园,B0FFHOC9PO,特步跑步俱乐部(奥林匹克森林公园店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,科荟路奥林匹克森林公园内(南侧),鸟巢,116.391624,40.011638,780,501-1000m,4.5,,06:30-21:30,周一至周日 06:30-21:30,010-64529381,os_sports_supply,matched_pdf_seed,POI-0020,跑步俱乐部(奥林匹克森林公园店),needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0046,sample_olympic_forest,奥林匹克森林公园,B0FFI1DZFN,九号餐厅中式快餐,restaurant,餐厅,餐饮服务;中餐厅;中餐厅,050100,新奥购物中心地铁15号线I出口,北辰,116.392324,40.001451,1913,1501-3000m,2.5,23.00,06:30-20:30,周一至周日 06:30-20:30,15910728197,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0047,sample_olympic_forest,奥林匹克森林公园,B0FFI1TE4G,7-ELEVEn(安立路店),convenience_retail,便利店,购物服务;便民商店/便利店;7-ELEVEn便利店,060201,15号线安立路地铁站西南D口洛克时代1层,亚运村,116.406604,40.002234,2202,1501-3000m,4.3,,24小时营业,周一至周日 00:00-24:00,15001163565,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0048,sample_olympic_forest,奥林匹克森林公园,B0FFI8B4K8,北辰洲际酒店·大堂吧,night_dining_bar,酒吧,餐饮服务;餐饮相关场所;餐饮相关,050000,奥运村街道北辰西路8号院4号楼北辰洲际酒店1层,北辰,116.387995,39.998300,2291,1501-3000m,4.5,117.00,08:00-23:00,周一至周日 08:00-23:00,010-84371381,os_bar,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0049,sample_olympic_forest,奥林匹克森林公园,B0FFIJLA60,361°(北投新奥购物中心店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,湖景东路9号北投新奥购物中心H2层,北辰,116.395256,40.000487,2037,1501-3000m,3.8,,10:00-22:00,周一至周日 10:00-22:00,,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0050,sample_olympic_forest,奥林匹克森林公园,B0FFIK6BW6,禅铭瑜伽(风林绿洲店),yoga_pilates,瑜伽;普拉提,体育休闲服务;运动场馆;健身中心,080111,风林绿洲小区底商3号楼2层2B,北辰,116.382604,40.001680,2055,1501-3000m,4.4,130.00,08:00-21:00,周一至周日 08:00-21:00,17310332960,os_yoga;os_pilates,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0051,sample_olympic_forest,奥林匹克森林公园,B0FFITPSBV,小肥羊(北投新奥购物中心店),restaurant,餐厅,餐饮服务;中餐厅;火锅店,050117,湖景东路9号新奥购物中心1层东B门,北辰,116.396371,40.000038,2101,1501-3000m,4.6,108.00,10:00-21:30,周一至周日 10:00-21:30,010-64855810;13120130022,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
