checklist_id,checklist_type,source_id,park_id,park_name,target_name,target_kind,related_poi_or_node,priority,current_known_info,verification_goal_draft,on_site_questions_draft,photo_required_draft,acceptable_evidence_draft,blocking_reason_draft,p2_gate_draft,output_status,executor,model,review_gate,llm_task_id,run_id
FIELD-CHECK-023,primary_access_node_field_check,NODE-SEM-REVIEW-0022,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园东门停车场(出入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出入口; address=奥林匹克森林公园南园东门停车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园东门停车场(出入口)是否为官方入口或出入口。,查看停车场出入口是否具备公园官方入口标识。,yes_and_reason: 拍摄出入口全景及官方标识。,照片（出入口、官方标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-024,primary_access_node_field_check,NODE-SEM-REVIEW-0014,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门观光车售票厅,internal_facility_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=生活服务;售票处;售票处; address=奥林匹克森林公园南园南门; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园南门观光车售票厅是否为官方入口或可通行的内部设施节点。,确认售票厅是否作为入园通道，游客购票后能否直接进入公园。,yes_and_reason: 拍摄售票厅入口、入园闸机等。,照片（售票厅、入园通道）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-025,primary_access_node_field_check,NODE-SEM-REVIEW-0018,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=科荟路33号奥林匹克公园内; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园西门停车场是否为官方停车场及入园通道。,确认停车场与公园的连通情况，有无官方入口指引。,yes_and_reason: 拍摄停车场入园口标识。,照片（入园口标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-026,primary_access_node_field_check,NODE-SEM-REVIEW-0017,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门停车场(出入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出入口; address=奥林匹克森林公园南园西门停车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园西门停车场(出入口)是否为官方入口或出入口。,检查出入口是否可进入公园，有无官方标识。,yes_and_reason: 拍摄出入口及官方标识。,照片（出入口、标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-027,primary_access_node_field_check,NODE-SEM-REVIEW-0016,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南门东侧地面停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=奥林匹克森林公园南园(东南角); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南门东侧地面停车场是否为官方停车场并可作为入园通道。,查看停车场是否有直接入园的步行入口。,yes_and_reason: 拍摄停车场与公园连接口。,照片（连接口、标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-028,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0004,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P12停车场,parking_access_node,梦奥体育,P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=滨河南路城市绿心森林公园(西侧); final_use_gate=secondary_access_node_needs_field_confirmation,现场核验城市绿心森林公园P12停车场是否可作为到达梦奥体育的停车/到达节点，并确认从该停车场能否进入公园。,查看P12停车场是否有入园通道，游客能否从此处步行进入公园并前往梦奥体育。,yes_and_reason: 拍摄停车场入口、入园通道指示。,照片（停车场、入园路径）、官方牌示、现场问询记录、园方确认。,该节点作为到达/入园通道的可行性待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-029,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0002,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P5停车场,parking_access_node,梦奥体育,P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=滨河南路城市绿心森林公园(东南角); final_use_gate=secondary_access_node_needs_field_confirmation,现场核验城市绿心森林公园P5停车场是否可作为到达梦奥体育的停车/到达节点。,确认P5停车场是否开放，游客能否停车后步行进入公园并通往梦奥体育。,yes_and_reason: 拍摄停车场及入园步行通道。,照片（停车场、入园步行口）、官方牌示、现场问询记录、园方确认。,该节点到达及入园可行性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-030,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0001,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P6停车场,parking_access_node,梦奥体育,P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=滨河南路城市绿心森林公园(西南角); final_use_gate=secondary_access_node_needs_field_confirmation,现场核验城市绿心森林公园P6停车场（与source_id 0010不同节点）是否能作为到达梦奥体育的停车点。,确认此P6停车场标识是否为城市绿心森林公园官方停车场，车辆停泊后能否步行入园并到达梦奥体育。,yes_and_reason: 拍摄停车场入口及徒步入园路线指示。,照片（停车场、徒步路线）、官方牌示、现场问询记录、园方确认。,该节点停车及入园连通性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-031,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0003,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P7停车场,parking_access_node,梦奥体育,P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=滨河南路城市绿心森林公园(西侧); final_use_gate=secondary_access_node_needs_field_confirmation,现场核验城市绿心森林公园P7停车场是否可作为到达梦奥体育的停车/到达节点。,查看P7停车场是否对游客开放，能否从此处进入公园并到达梦奥体育。,yes_and_reason: 拍摄停车场及入园通道。,照片（停车场、入园口）、官方牌示、现场问询记录、园方确认。,该节点停车及入园可行性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-032,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0005,sample_city_green_heart,城市绿心森林公园,大运河森林公园西1门停车场,nearby_commercial_or_wrong_match,梦奥体育,P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=通怀路与凝翠路交叉口西北240米; final_use_gate=secondary_access_node_needs_field_confirmation,现场核验大运河森林公园西1门停车场是否可作为到达梦奥体育的备选停车/到达节点。,确认该停车场与大运河森林公园及城市绿心森林公园的连接关系，游客能否从此处步行到达梦奥体育。,yes_and_reason: 拍摄停车场位置及周边指引。,照片（停车场、周边道路指引）、官方牌示、现场问询记录、园方确认。,该节点与目标公园的连通性及可用性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-033,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0037,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-体育园地面停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=奥林匹克森林公园北园-体育园; final_use_gate=secondary_access_node_needs_field_confirmation,现场核验奥林匹克森林公园北园-体育园地面停车场是否可作为游客停车并入园的节点。,确认该停车场能否直接进入体育园及目标POI区域。,yes_and_reason: 拍摄停车场与公园连接口。,照片（连接口、标识）、官方牌示、现场问询记录、园方确认。,该节点入园可行性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-034,secondary_parking_or_visit_node_field_check,NODE-SEM-REVIEW-0020,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园国奥村停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P1_manual_check_parking_access,type=交通设施服务;停车场;公共停车场; address=奥林匹克森林公园南园(西南角); final_use_gate=secondary_access_node_needs_field_confirmation,现场核验奥林匹克森林公园南园国奥村停车场是否可作为停车节点并通往公园及目标POI。,查看该停车场是否开放给游客，是否有步行入园通道。,yes_and_reason: 拍摄停车场入口及入园指示。,照片（停车场、入园通道）、官方牌示、现场问询记录、园方确认。,该节点停车及入园连通性待确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
