semantic_id,source_id,source_file,project_name,area_sqm,semantic_type,category,extracted_value,source_excerpt,p2_use,quality_status,output_status,executor,llm_task_id
P2-DOCX-SEM-011,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目三：12#西分区管理中心（1059.39㎡）,1059.39,project_scope,定位-方案一,“公园音乐客厅”——白天为西式音乐餐吧，夜晚为Live House，打造全时段消费场景。,"1. 定位
“公园音乐客厅”——白天为西式音乐餐吧，夜晚为Live House，打造全时段消费场景。",明确业态定位，用于营业时段和内容设计,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-012,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目三：12#西分区管理中心（1059.39㎡）,1059.39,scene_assumption,功能规划-方案一,白天：西式简餐、咖啡；晚上：Live House（小型乐队、脱口秀、慢摇吧）。,"白天：
西式简餐、咖啡（意面、沙拉、烘焙、下午茶）
晚上：
Live House（小型乐队、脱口秀、慢摇吧）",定义业态组合和时间安排，支持客流与营收预测,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-013,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目三：12#西分区管理中心（1059.39㎡）,1059.39,project_scope,定位-方案二,老北京怀旧文化体验馆——集北冰洋汽水、百年义利糕点、文创零售、轻餐饮于一体的复合空间，主打“童年味道+国潮打卡”。,"1. 定位
老北京怀旧文化体验馆——集北冰洋汽水、百年义利糕点、文创零售、轻餐饮于一体的复合空间，主打“童年味道+国潮打卡”。",备选方案定位，用于比较分析和风险评估,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-014,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目三：12#西分区管理中心（1059.39㎡）,1059.39,business_format,功能规划-方案二,饮品区（北冰洋汽水、义利面包）、烘焙工坊（DIY体验）、文创零售区（IP周边）、就餐区（复古风格简餐）、展览/打卡区。,"功能区	内容
饮品区	北冰洋全系饮品（玻璃瓶装、现调特饮）、义利面包、糕点
烘焙工坊	现烤义利面包、DIY饼干体验（亲子）
文创零售区	北冰洋/义利IP周边（搪瓷杯、帆布包、冰箱贴）、老北京怀旧玩具
就餐区	复古风格桌椅，可供堂食简餐（炸酱面套餐、北冰洋套餐）
展览/打卡区	老照片墙、复古冰箱、老式自行车，设置多个拍照点",备选业态组合，用于空间布局与货品配置模拟,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-015,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目三：12#西分区管理中心（1059.39㎡）,1059.39,risk_or_constraint,方案对比-风险,方案一（Live House）政策风险中（夜间经营许可、演出审批），投资额较高，运营难度高；方案二（北冰洋+义利）政策风险低，投资额中等，运营难度中。,"维度	方案一：Live House	方案二：北冰洋+义利
…
投资额	较高	中等
运营难度	高（需艺人资源、文化许可证）	中（标准化零售+轻餐）
政策风险	中（夜间经营许可、演出审批）	低
与奥森调性匹配度	中（可提升夜经济）	高（亲子友好、国潮文化）",方案风险对比，辅助决策和敏感性分析,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-016,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目四：南门地下预埋（5417㎡）,5417,project_scope,定位-方案一,奥莱运动名品折扣仓——运动户外品牌折扣集合店，主打正品折扣、换季特卖、品牌快闪，服务家庭客群及运动爱好者。,"1. 定位
奥莱运动名品折扣仓——运动户外品牌折扣集合店，主打正品折扣、换季特卖、品牌快闪，服务家庭客群及运动爱好者。",地下空间商业定位，用于客流和品类配置,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-017,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目四：南门地下预埋（5417㎡）,5417,spatial_node,空间节点-地上联排房,地上联排房：品牌专卖店+咖啡店（方案一）；IP文创店+咖啡店（方案二）。,"地上联排房：品牌专卖店+咖啡店
…
地上联排房：IP文创店+咖啡店",明确地面配套商业节点，用于动线和协同效应分析,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-018,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目五：南门露天剧场,,project_scope,定位,“湖畔阳光烘焙工坊 + 四季草坪生活场”——集现烤烘焙、精品咖啡、草坪市集、音乐演出、亲子工坊于一体的湖畔生活聚落。,"1. 定位
“湖畔阳光烘焙工坊 + 四季草坪生活场”——一个集现烤烘焙、精品咖啡、草坪市集、音乐演出、亲子工坊于一体的湖畔生活聚落。",整合户外空间与建筑的多功能定位,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-019,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目五：南门露天剧场,,renovation_suggestion,改造建议,将建筑顶部改为玻璃顶，不增加建筑面积，提升采光，申请改造许可。,将建筑顶部改为玻璃顶：不增加建筑面积，但提升采光，申请改造许可。,改造条件评估，影响投资成本和实施可行性,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-020,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目六：10#2A03分区管理中心（1804.5㎡）,1804.5,project_scope,定位,“国医·国学文化中心”——融合中医诊疗、康复理疗、国学教育、文化体验，打造公园内的“身心修养院落”。,"1. 定位
“国医·国学文化中心”——融合中医诊疗、康复理疗、国学教育、文化体验，打造公园内的“身心修养院落”。",明确文化康养定位，指导场景设计和功能分区,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-021,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目六：10#2A03分区管理中心（1804.5㎡）,1804.5,business_format,功能规划,中医诊疗区（诊室、针灸、推拿、中药房）、国学讲堂、康复理疗区（艾灸、熏蒸）、文化展厅+文创店。,"功能区	内容
中医诊疗区	诊室、针灸室、推拿室、中药房
国学讲堂	用于讲座、书法课、茶道
康复理疗区	理疗室、艾灸、熏蒸、康复训练
文化展厅+文创店	中医古籍、国学书籍、文创礼品、养生食品",确定内部功能布局，用于面积与流线规划,needs_review,needs_review,deepseek,LLM-017
