spatial_label_candidate_id,source_label_id,label_text,label_type,spatial_role,geometry_status,source_file,page,p2_use,output_status,executor,llm_task_id
P2-SPATIAL-011,P2-PDF-LABEL-011,花海,recreation,scenic_spot_flower,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-012,P2-PDF-LABEL-012,丛林穿越,recreation,adventure_course,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-013,P2-PDF-LABEL-013,儿童卡丁车,recreation,kids_gokart,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-014,P2-PDF-LABEL-014,厕所,facility,public_toilet,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-015,P2-PDF-LABEL-015,管理用房,facility,management_facility,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-016,P2-PDF-LABEL-016,车行桥,bridge_or_gate,vehicle_bridge,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-017,P2-PDF-LABEL-017,变电站,facility,substation_electric,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-018,P2-PDF-LABEL-018,消防队,service,fire_station,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-019,P2-PDF-LABEL-019,水务站,facility,water_management,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-020,P2-PDF-LABEL-020,乐仕堡,recreation,children_exploration,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-021,P2-PDF-LABEL-021,保安公司,service,security_office,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-022,P2-PDF-LABEL-022,世奥森林公园开发经营有限公司,building,park_management_office,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
