query_id,theme,query,priority,source_preference,usage_rule
CN-Q-0028,GIS/CAD/空间选址,CAD GIS 空间数据 城市规划,high,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0029,GIS/CAD/空间选址,POI 商业供给 公园 周边,high,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0030,GIS/CAD/空间选址,多准则决策 商业选址 GIS,high,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0031,城市治理与合规,城市公园 商业经营 合规,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0032,城市治理与合规,公共空间 噪声投诉 夜间经济,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0033,城市治理与合规,食品经营许可 公园 商业,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0034,城市治理与合规,消防安全 临时商业设施,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0035,城市治理与合规,公园商业 公共性 治理,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0036,AI 工作台与报告,人工智能 决策支持 城市规划,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0037,AI 工作台与报告,大语言模型 智能体 仿真,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0038,AI 工作台与报告,AI 报告生成 可信度 证据链,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0039,AI 工作台与报告,人机协同 决策支持 界面,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
CN-Q-0040,AI 工作台与报告,知识库 检索增强 规划决策,medium,万方/AMiner first; CNKI/VIP authorized export; OpenAlex/Crossref as international supplement,仅作方法约束或中国语境补充；进入客户结论前必须连接本项目证据链。
