coverage_type,item_id,item_name,coverage_status,evidence,output_status
business_scene_assumption,P2-ASSUMP-009,折扣零售场景,需奥莱业态坪效与转化率,运动户外品牌折扣集合店，品牌快闪与换季特卖，服务家庭客群。,needs_review
business_scene_assumption,P2-ASSUMP-010,地面配套,需地上入口客流计数,地上联排房设品牌专卖店/咖啡店或IP文创店，作为地上引流入口。,needs_review
business_scene_assumption,P2-ASSUMP-011,湖畔生活场景,需草坪活动容量和天气影响数据,湖畔阳光烘焙工坊+草坪市集、音乐演出、亲子工坊，构建户外复合消费。,needs_review
business_scene_assumption,P2-ASSUMP-012,文化康养场景,需中医康养服务客单价与频次,中医诊疗、国学讲堂、康复理疗、文化体验，打造身心修养院落。,needs_review
spatial_label,P2-SPATIAL-001,林萃路,pdf_text_label_only_pending_dwg_conversion,road,needs_review
spatial_label,P2-SPATIAL-002,北五环辅路,pdf_text_label_only_pending_dwg_conversion,road,needs_review
spatial_label,P2-SPATIAL-003,仰山沟,pdf_text_label_only_pending_dwg_conversion,water_green,needs_review
spatial_label,P2-SPATIAL-004,奥林西桥,pdf_text_label_only_pending_dwg_conversion,bridge_or_gate,needs_review
spatial_label,P2-SPATIAL-005,停车场,pdf_text_label_only_pending_dwg_conversion,parking,needs_review
spatial_label,P2-SPATIAL-006,运动场,pdf_text_label_only_pending_dwg_conversion,sports,needs_review
spatial_label,P2-SPATIAL-007,足球场,pdf_text_label_only_pending_dwg_conversion,sports,needs_review
spatial_label,P2-SPATIAL-008,篮球场,pdf_text_label_only_pending_dwg_conversion,sports,needs_review
spatial_label,P2-SPATIAL-009,羽毛球气膜馆,pdf_text_label_only_pending_dwg_conversion,sports,needs_review
spatial_label,P2-SPATIAL-010,游乐场,pdf_text_label_only_pending_dwg_conversion,recreation,needs_review
spatial_label,P2-SPATIAL-011,花海,pdf_text_label_only_pending_dwg_conversion,recreation,needs_review
spatial_label,P2-SPATIAL-012,丛林穿越,pdf_text_label_only_pending_dwg_conversion,recreation,needs_review
spatial_label,P2-SPATIAL-013,儿童卡丁车,pdf_text_label_only_pending_dwg_conversion,recreation,needs_review
spatial_label,P2-SPATIAL-014,厕所,pdf_text_label_only_pending_dwg_conversion,facility,needs_review
spatial_label,P2-SPATIAL-015,管理用房,pdf_text_label_only_pending_dwg_conversion,facility,needs_review
spatial_label,P2-SPATIAL-016,车行桥,pdf_text_label_only_pending_dwg_conversion,bridge_or_gate,needs_review
spatial_label,P2-SPATIAL-017,变电站,pdf_text_label_only_pending_dwg_conversion,facility,needs_review
spatial_label,P2-SPATIAL-018,消防队,pdf_text_label_only_pending_dwg_conversion,service,needs_review
spatial_label,P2-SPATIAL-019,水务站,pdf_text_label_only_pending_dwg_conversion,facility,needs_review
spatial_label,P2-SPATIAL-020,乐仕堡,pdf_text_label_only_pending_dwg_conversion,recreation,needs_review
spatial_label,P2-SPATIAL-021,保安公司,pdf_text_label_only_pending_dwg_conversion,service,needs_review
spatial_label,P2-SPATIAL-022,世奥森林公园开发经营有限公司,pdf_text_label_only_pending_dwg_conversion,building,needs_review
input_gap,P2-GAP-001,geometry,pending_conversion,dwg_geometry_not_parsed,needs_review
input_gap,P2-GAP-002,spatial_nodes,missing_south_cad_proxy,south_park_no_pdf_or_dwg_extracted,needs_review
input_gap,P2-GAP-003,visitor_flow,not_provided,Real visitor flow by entrance/node/time,needs_review
input_gap,P2-GAP-004,conversion_rate,not_provided,Business-format conversion rates,needs_review
input_gap,P2-GAP-005,revenue_cost,not_provided,Revenue/cost/rent/share parameters,needs_review
input_gap,P2-GAP-006,operation_authorization,not_confirmed,Operator authorization and lease feasibility,needs_review
input_gap,P2-GAP-007,regulatory,not_confirmed,Construction/renovation permission,needs_review
input_gap,P2-GAP-008,demand_fit,not_linked_to_checked_evidence,Demand evidence for planned formats,needs_review
input_gap,P2-GAP-009,competition_supply,not_built_for_real_site,In-park and nearby supply baseline for target park,needs_review
input_gap,P2-GAP-010,model_gate,not_started,P2 schema review and final gate,needs_review
deepseek_boundary,BOUNDARY-001,DWG几何已解析,must_not_claim,DeepSeek LLM-020 audit,needs_review
deepseek_boundary,BOUNDARY-002,P3真实校准已完成,must_not_claim,DeepSeek LLM-020 audit,needs_review
deepseek_boundary,BOUNDARY-003,P4完整仿真已完成,must_not_claim,DeepSeek LLM-020 audit,needs_review
deepseek_boundary,BOUNDARY-004,PPT可回填缺口,must_not_claim,DeepSeek LLM-020 audit,needs_review
deepseek_boundary,BOUNDARY-005,候选评分是最终选址排序,must_not_claim,DeepSeek LLM-020 audit,needs_review
deepseek_boundary,BOUNDARY-006,needs_review可当checked,must_not_claim,DeepSeek LLM-020 audit,needs_review
