check_id,group,severity,status,finding,evidence
IMPL-024,files,error,pass,"60_model/scripts/review_deepseek_p0_verification_package.py exists=True, bytes=4874",60_model/scripts/review_deepseek_p0_verification_package.py
IMPL-025,files,error,pass,"60_model/scripts/run_deepseek_project_context_sync.py exists=True, bytes=11409",60_model/scripts/run_deepseek_project_context_sync.py
IMPL-026,files,error,pass,"60_model/scripts/review_deepseek_project_context_sync.py exists=True, bytes=3990",60_model/scripts/review_deepseek_project_context_sync.py
IMPL-027,files,error,pass,"60_model/scripts/run_deepseek_p0_detail_query_plan.py exists=True, bytes=12077",60_model/scripts/run_deepseek_p0_detail_query_plan.py
IMPL-028,files,error,pass,"60_model/scripts/review_deepseek_p0_detail_query_plan.py exists=True, bytes=5125",60_model/scripts/review_deepseek_p0_detail_query_plan.py
IMPL-029,files,error,pass,"60_model/scripts/run_deepseek_p0_field_verification_checklist.py exists=True, bytes=14265",60_model/scripts/run_deepseek_p0_field_verification_checklist.py
IMPL-030,files,error,pass,"60_model/scripts/review_deepseek_p0_field_verification_checklist.py exists=True, bytes=6031",60_model/scripts/review_deepseek_p0_field_verification_checklist.py
IMPL-031,files,error,pass,"60_model/scripts/run_deepseek_p1_quality_report.py exists=True, bytes=16998",60_model/scripts/run_deepseek_p1_quality_report.py
IMPL-032,files,error,pass,"60_model/scripts/review_deepseek_p1_quality_report.py exists=True, bytes=7840",60_model/scripts/review_deepseek_p1_quality_report.py
IMPL-033,files,error,pass,"60_model/scripts/run_deepseek_p2_real_site_semantic_breakdown.py exists=True, bytes=12842",60_model/scripts/run_deepseek_p2_real_site_semantic_breakdown.py
IMPL-034,files,error,pass,"60_model/scripts/review_deepseek_p2_real_site_semantic_breakdown.py exists=True, bytes=6108",60_model/scripts/review_deepseek_p2_real_site_semantic_breakdown.py
IMPL-035,files,error,pass,"60_model/scripts/run_deepseek_p2_input_schema_candidates.py exists=True, bytes=21282",60_model/scripts/run_deepseek_p2_input_schema_candidates.py
IMPL-036,files,error,pass,"60_model/scripts/review_deepseek_p2_input_schema_candidates.py exists=True, bytes=5457",60_model/scripts/review_deepseek_p2_input_schema_candidates.py
IMPL-037,files,error,pass,"60_model/scripts/run_deepseek_p2_completion_readiness_audit.py exists=True, bytes=11064",60_model/scripts/run_deepseek_p2_completion_readiness_audit.py
IMPL-038,files,error,pass,"60_model/scripts/review_deepseek_p2_completion_readiness_audit.py exists=True, bytes=4521",60_model/scripts/review_deepseek_p2_completion_readiness_audit.py
IMPL-039,files,error,pass,"60_model/scripts/run_deepseek_p2_source_coverage_audit.py exists=True, bytes=11798",60_model/scripts/run_deepseek_p2_source_coverage_audit.py
IMPL-040,files,error,pass,"60_model/scripts/review_deepseek_p2_source_coverage_audit.py exists=True, bytes=5441",60_model/scripts/review_deepseek_p2_source_coverage_audit.py
IMPL-041,files,error,pass,"60_model/scripts/run_deepseek_p2_geometry_proxy_audit.py exists=True, bytes=14144",60_model/scripts/run_deepseek_p2_geometry_proxy_audit.py
IMPL-042,files,error,pass,"60_model/scripts/review_deepseek_p2_geometry_proxy_audit.py exists=True, bytes=4960",60_model/scripts/review_deepseek_p2_geometry_proxy_audit.py
IMPL-043,files,error,pass,"60_model/scripts/run_deepseek_p3_prework_package.py exists=True, bytes=28589",60_model/scripts/run_deepseek_p3_prework_package.py
IMPL-044,files,error,pass,"60_model/scripts/review_deepseek_p3_prework_package.py exists=True, bytes=8646",60_model/scripts/review_deepseek_p3_prework_package.py
IMPL-045,files,error,pass,"60_model/scripts/run_deepseek_p3_calibration_execution_package.py exists=True, bytes=15282",60_model/scripts/run_deepseek_p3_calibration_execution_package.py
IMPL-046,files,error,pass,"60_model/scripts/review_deepseek_p3_calibration_execution_package.py exists=True, bytes=6637",60_model/scripts/review_deepseek_p3_calibration_execution_package.py
IMPL-047,files,error,pass,"60_model/scripts/run_deepseek_p4_premature_audit.py exists=True, bytes=3891",60_model/scripts/run_deepseek_p4_premature_audit.py
IMPL-048,files,error,pass,"60_model/scripts/run_deepseek_p4_feedback_draft.py exists=True, bytes=9789",60_model/scripts/run_deepseek_p4_feedback_draft.py
IMPL-049,files,error,pass,"60_model/scripts/review_deepseek_p4_feedback_draft.py exists=True, bytes=3730",60_model/scripts/review_deepseek_p4_feedback_draft.py
IMPL-050,files,error,pass,"60_model/scripts/validate_deepseek_contract_output.py exists=True, bytes=9183",60_model/scripts/validate_deepseek_contract_output.py
IMPL-051,files,error,pass,"60_model/scripts/verify_modern_sim_stack.py exists=True, bytes=7567",60_model/scripts/verify_modern_sim_stack.py
IMPL-052,files,error,pass,"60_model/scripts/adapt_choice_probability_and_validation_targets.py exists=True, bytes=24762",60_model/scripts/adapt_choice_probability_and_validation_targets.py
IMPL-053,files,error,pass,"30_extraction/scripts/build_codex_mainline_context.py exists=True, bytes=9849",30_extraction/scripts/build_codex_mainline_context.py
IMPL-054,files,error,pass,"60_model/scripts/audit_rebaseline_artifacts.py exists=True, bytes=10139",60_model/scripts/audit_rebaseline_artifacts.py
IMPL-055,files,error,pass,"60_model/scripts/adapt_deepseek_legacy_outputs.py exists=True, bytes=7750",60_model/scripts/adapt_deepseek_legacy_outputs.py
IMPL-056,files,error,pass,"60_model/scripts/adapt_p4_node_explanations.py exists=True, bytes=10958",60_model/scripts/adapt_p4_node_explanations.py
IMPL-057,files,error,pass,"60_model/scripts/build_p2_method_prototype.py exists=True, bytes=13628",60_model/scripts/build_p2_method_prototype.py
IMPL-058,files,error,pass,"60_model/scripts/review_p2_method_prototype.py exists=True, bytes=4838",60_model/scripts/review_p2_method_prototype.py
IMPL-059,files,error,pass,"60_model/schemas/persona_state.schema.json exists=True, bytes=2117",60_model/schemas/persona_state.schema.json
IMPL-060,files,error,pass,"60_model/schemas/behavior_program.schema.json exists=True, bytes=2834",60_model/schemas/behavior_program.schema.json
IMPL-061,files,error,pass,"60_model/schemas/node_recommendation_explanation.schema.json exists=True, bytes=1831",60_model/schemas/node_recommendation_explanation.schema.json
IMPL-062,files,error,pass,"60_model/schemas/deepseek_task_contract.schema.json exists=True, bytes=2221",60_model/schemas/deepseek_task_contract.schema.json
IMPL-063,files,error,pass,"60_model/schemas/person_simulation_control.schema.json exists=True, bytes=2094",60_model/schemas/person_simulation_control.schema.json
IMPL-064,files,error,pass,"60_model/schemas/choice_probability.schema.json exists=True, bytes=3924",60_model/schemas/choice_probability.schema.json
IMPL-065,files,error,pass,"60_model/schemas/simulation_validation_target.schema.json exists=True, bytes=3763",60_model/schemas/simulation_validation_target.schema.json
IMPL-066,files,error,pass,"10_research/boss_method_materials_20260604/full_system_rebaseline_20260604.md exists=True, bytes=13080",10_research/boss_method_materials_20260604/full_system_rebaseline_20260604.md
IMPL-067,files,error,pass,"10_research/boss_method_materials_20260604/boss_model_inventory_20260604.md exists=True, bytes=11173",10_research/boss_method_materials_20260604/boss_model_inventory_20260604.md
IMPL-068,files,error,pass,"10_research/boss_method_materials_20260604/unified_simulation_method_matrix_20260604.md exists=True, bytes=11446",10_research/boss_method_materials_20260604/unified_simulation_method_matrix_20260604.md
IMPL-069,files,error,pass,"10_research/boss_method_materials_20260604/external_paper_screening_20260604.md exists=True, bytes=8459",10_research/boss_method_materials_20260604/external_paper_screening_20260604.md
IMPL-070,files,error,pass,"10_research/boss_method_materials_20260604/legacy_file_trust_audit_20260604.md exists=True, bytes=8120",10_research/boss_method_materials_20260604/legacy_file_trust_audit_20260604.md
IMPL-071,files,error,pass,"10_research/boss_method_materials_20260604/deepseek_task_contracts_20260604.md exists=True, bytes=9529",10_research/boss_method_materials_20260604/deepseek_task_contracts_20260604.md
IMPL-072,files,error,pass,"10_research/boss_method_materials_20260604/method_selection_evaluation_20260604.md exists=True, bytes=10310",10_research/boss_method_materials_20260604/method_selection_evaluation_20260604.md
IMPL-073,files,error,pass,"10_research/boss_method_materials_20260604/method_absorption_landing_register_20260604.md exists=True, bytes=9182",10_research/boss_method_materials_20260604/method_absorption_landing_register_20260604.md
IMPL-074,files,error,pass,"10_research/boss_method_materials_20260604/modern_practical_method_rescreen_20260604.md exists=True, bytes=8083",10_research/boss_method_materials_20260604/modern_practical_method_rescreen_20260604.md
IMPL-075,files,error,pass,"10_research/boss_method_materials_20260604/modern_method_openalex_search_20260604.json exists=True, bytes=18847",10_research/boss_method_materials_20260604/modern_method_openalex_search_20260604.json
IMPL-076,files,error,pass,"10_research/global_ai_simulation_design_rebaseline_20260604.md exists=True, bytes=11902",10_research/global_ai_simulation_design_rebaseline_20260604.md
IMPL-077,files,error,pass,"10_research/advanced_ai_learning_absorption_register_20260604.md exists=True, bytes=12749",10_research/advanced_ai_learning_absorption_register_20260604.md
IMPL-078,files,error,pass,"10_research/advanced_ai_validation_rebaseline_20260604.md exists=True, bytes=5606",10_research/advanced_ai_validation_rebaseline_20260604.md
IMPL-079,files,error,pass,"10_research/evidence_based_direction_reset_20260605.md exists=True, bytes=10212",10_research/evidence_based_direction_reset_20260605.md
IMPL-080,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_153eefbc_snapshot.txt exists=True, bytes=12195",10_research/flowus_design_learning_20260605/flowus_153eefbc_snapshot.txt
IMPL-081,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_6616d9c9_snapshot.txt exists=True, bytes=20207",10_research/flowus_design_learning_20260605/flowus_6616d9c9_snapshot.txt
IMPL-082,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_780bf704_snapshot.txt exists=True, bytes=14470",10_research/flowus_design_learning_20260605/flowus_780bf704_snapshot.txt
IMPL-083,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_153eefbc_screenshot.png exists=True, bytes=1204942",10_research/flowus_design_learning_20260605/flowus_153eefbc_screenshot.png
IMPL-084,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_6616d9c9_screenshot.png exists=True, bytes=1263287",10_research/flowus_design_learning_20260605/flowus_6616d9c9_screenshot.png
IMPL-085,files,error,pass,"10_research/flowus_design_learning_20260605/flowus_780bf704_screenshot.png exists=True, bytes=1013577",10_research/flowus_design_learning_20260605/flowus_780bf704_screenshot.png
IMPL-086,files,error,pass,"10_research/method_tool_plugin_audit_20260604.md exists=True, bytes=11517",10_research/method_tool_plugin_audit_20260604.md
IMPL-087,files,error,pass,"10_research/deepseek_api_concurrency_capacity_20260605.md exists=True, bytes=3247",10_research/deepseek_api_concurrency_capacity_20260605.md
IMPL-088,files,error,pass,"10_research/simulation_task_entry_evidence_reinforcement_20260605.md exists=True, bytes=7246",10_research/simulation_task_entry_evidence_reinforcement_20260605.md
IMPL-089,files,error,pass,"10_research/ui_skill_design_system_audit_20260605.md exists=True, bytes=4065",10_research/ui_skill_design_system_audit_20260605.md
IMPL-090,files,error,pass,"10_research/web_design_guidelines_audit_20260605.md exists=True, bytes=2219",10_research/web_design_guidelines_audit_20260605.md
IMPL-091,files,error,pass,"00_control/page_layer_rebuild_blueprint_20260605.md exists=True, bytes=4917",00_control/page_layer_rebuild_blueprint_20260605.md
IMPL-092,files,error,pass,"30_extraction/scripts/audit_page_rebuild_strategy_20260605.py exists=True, bytes=12244",30_extraction/scripts/audit_page_rebuild_strategy_20260605.py
IMPL-093,files,error,pass,"30_extraction/scripts/verify_workflow_navigation_20260605.py exists=True, bytes=5225",30_extraction/scripts/verify_workflow_navigation_20260605.py
IMPL-094,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/verify_source_space_foundation_20260605.py exists=False, bytes=0. Reason: source/space foundation 0605 gate was replaced by current dashboard source_foundation plus historical/agent influence audits.",30_extraction/scripts/verify_source_space_foundation_20260605.py
IMPL-095,files,error,pass,"40_quality_evidence/page_rebuild_strategy_audit_20260605.json exists=True, bytes=6447",40_quality_evidence/page_rebuild_strategy_audit_20260605.json
IMPL-096,files,error,pass,"40_quality_evidence/page_rebuild_strategy_audit_20260605.md exists=True, bytes=4981",40_quality_evidence/page_rebuild_strategy_audit_20260605.md
IMPL-097,files,error,pass,"40_quality_evidence/workflow_navigation_validation_20260605.json exists=True, bytes=2549",40_quality_evidence/workflow_navigation_validation_20260605.json
IMPL-098,files,error,pass,"40_quality_evidence/workflow_navigation_validation_20260605.md exists=True, bytes=517",40_quality_evidence/workflow_navigation_validation_20260605.md
IMPL-099,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/source_space_foundation_validation_20260605.json exists=False, bytes=0. Reason: source/space foundation 0605 gate was replaced by current dashboard source_foundation plus historical/agent influence audits.",40_quality_evidence/source_space_foundation_validation_20260605.json
IMPL-100,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/source_space_foundation_validation_20260605.md exists=False, bytes=0. Reason: source/space foundation 0605 gate was replaced by current dashboard source_foundation plus historical/agent influence audits.",40_quality_evidence/source_space_foundation_validation_20260605.md
IMPL-101,files,error,pass,"40_quality_evidence/source_space_foundation_browser_runtime_20260605.json exists=True, bytes=250",40_quality_evidence/source_space_foundation_browser_runtime_20260605.json
IMPL-102,files,error,pass,"40_quality_evidence/source_space_foundation_upload_lazy_map_20260605.png exists=True, bytes=735080",40_quality_evidence/source_space_foundation_upload_lazy_map_20260605.png
IMPL-103,files,error,pass,"30_extraction/scripts/analyze_cad_dxf_20260605.py exists=True, bytes=11465",30_extraction/scripts/analyze_cad_dxf_20260605.py
IMPL-104,files,error,pass,"30_extraction/scripts/analyze_cad_pdf_proxy_20260605.py exists=True, bytes=3647",30_extraction/scripts/analyze_cad_pdf_proxy_20260605.py
IMPL-105,files,error,pass,"30_extraction/scripts/verify_session_recovery_20260606.py exists=True, bytes=5084",30_extraction/scripts/verify_session_recovery_20260606.py
IMPL-106,files,error,pass,"30_extraction/scripts/verify_osen_integrated_report_20260606.py exists=True, bytes=6232",30_extraction/scripts/verify_osen_integrated_report_20260606.py
IMPL-107,files,error,pass,"40_quality_evidence/session_recovery_20260606.json exists=True, bytes=2920",40_quality_evidence/session_recovery_20260606.json
IMPL-108,files,error,pass,"40_quality_evidence/session_recovery_20260606.md exists=True, bytes=1750",40_quality_evidence/session_recovery_20260606.md
IMPL-109,files,error,pass,"40_quality_evidence/cad_dxf_analysis_20260605.json exists=True, bytes=34221",40_quality_evidence/cad_dxf_analysis_20260605.json
IMPL-110,files,error,pass,"40_quality_evidence/cad_dxf_analysis_20260605.md exists=True, bytes=1666",40_quality_evidence/cad_dxf_analysis_20260605.md
IMPL-111,files,error,pass,"40_quality_evidence/cad_dxf_keyword_hits_20260605.csv exists=True, bytes=635",40_quality_evidence/cad_dxf_keyword_hits_20260605.csv
IMPL-112,files,error,pass,"40_quality_evidence/cad_pdf_proxy_analysis_20260605.json exists=True, bytes=849",40_quality_evidence/cad_pdf_proxy_analysis_20260605.json
IMPL-113,files,error,pass,"40_quality_evidence/cad_pdf_proxy_analysis_20260605.md exists=True, bytes=648",40_quality_evidence/cad_pdf_proxy_analysis_20260605.md
IMPL-114,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_integrated_report_validation_20260606.json exists=False, bytes=0. Reason: 0606 integrated report gate was replaced by current site_selection report and 0607 business decision report evidence.",40_quality_evidence/osen_integrated_report_validation_20260606.json
IMPL-115,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_integrated_report_validation_20260606.md exists=False, bytes=0. Reason: 0606 integrated report gate was replaced by current site_selection report and 0607 business decision report evidence.",40_quality_evidence/osen_integrated_report_validation_20260606.md
IMPL-116,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 90_p6_expert_dashboard/qa/osen_report_browser_validation_20260606.py exists=False, bytes=0. Reason: 0606 browser evidence was replaced by current TestFiles suite and post-test output restore audit.",90_p6_expert_dashboard/qa/osen_report_browser_validation_20260606.py
IMPL-117,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_browser_validation_20260606.json exists=False, bytes=0. Reason: 0606 browser evidence was replaced by current TestFiles suite and post-test output restore audit.",40_quality_evidence/osen_report_browser_validation_20260606.json
IMPL-118,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_browser_validation_20260606/report_view.png exists=False, bytes=0. Reason: 0606 browser evidence was replaced by current TestFiles suite and post-test output restore audit.",40_quality_evidence/osen_report_browser_validation_20260606/report_view.png
IMPL-119,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/recommendation_review_framework_20260607.md exists=False, bytes=0. Reason: 0607 recommendation research package was folded into current method_basis/method_trace and report basis files.",10_research/recommendation_review_framework_20260607.md
IMPL-120,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/recommendation_review_openalex_20260607.json exists=False, bytes=0. Reason: 0607 OpenAlex package was folded into current method_basis/method_trace and report basis files.",10_research/recommendation_review_openalex_20260607.json
IMPL-121,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/expert_implementation_review_framework_20260607.md exists=False, bytes=0. Reason: large 0607 expert-implementation research package is superseded by current report basis and method_trace evidence.",10_research/expert_implementation_review_framework_20260607.md
IMPL-122,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/osen_real_world_context_sources_20260607.md exists=False, bytes=0. Reason: 0607 real-world context note is superseded by current real_calibration_context and report basis.",10_research/osen_real_world_context_sources_20260607.md
IMPL-123,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/expert_implementation_knowledge_20260607/expert_implementation_summary.json exists=False, bytes=0. Reason: large 0607 expert-implementation research package is superseded by current report basis and method_trace evidence.",10_research/expert_implementation_knowledge_20260607/expert_implementation_summary.json
IMPL-124,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 10_research/expert_implementation_knowledge_20260607/expert_implementation_openalex_raw.json exists=False, bytes=0. Reason: large 0607 expert-implementation research package is superseded by current report basis and method_trace evidence.",10_research/expert_implementation_knowledge_20260607/expert_implementation_openalex_raw.json
IMPL-125,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/build_recommendation_review_research_20260607.py exists=False, bytes=0. Reason: superseded research builder; current report basis is generated through the dashboard report chain.",30_extraction/scripts/build_recommendation_review_research_20260607.py
IMPL-126,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/build_expert_implementation_knowledge_base_20260607.py exists=False, bytes=0. Reason: large 0607 expert-implementation research package is superseded by current report basis and method_trace evidence.",30_extraction/scripts/build_expert_implementation_knowledge_base_20260607.py
IMPL-127,files,error,pass,"30_extraction/scripts/build_osen_real_calibration_inputs_20260607.py exists=True, bytes=5364",30_extraction/scripts/build_osen_real_calibration_inputs_20260607.py
IMPL-128,files,error,pass,"70_outputs/processed_tables/osen_real_calibration_inputs_20260607.csv exists=True, bytes=12884",70_outputs/processed_tables/osen_real_calibration_inputs_20260607.csv
IMPL-129,files,error,pass,"40_quality_evidence/osen_real_calibration_inputs_20260607.json exists=True, bytes=629",40_quality_evidence/osen_real_calibration_inputs_20260607.json
IMPL-130,files,error,pass,"40_quality_evidence/osen_real_calibration_inputs_20260607.md exists=True, bytes=375",40_quality_evidence/osen_real_calibration_inputs_20260607.md
IMPL-131,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/render_docx_with_isolated_libreoffice.py exists=False, bytes=0. Reason: 0606 isolated LibreOffice helper superseded by repaired LibreOffice profile and current DOCX validation artifacts.",30_extraction/scripts/render_docx_with_isolated_libreoffice.py
IMPL-132,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/verify_osen_docx_delivery_20260606.py exists=False, bytes=0. Reason: 0606 DOCX delivery gate superseded by current 0607 platform download and post-test report restore audit.",30_extraction/scripts/verify_osen_docx_delivery_20260606.py
IMPL-133,files,error,pass,"80_delivery/osen_integrated_site_selection_report_20260606.docx exists=True, bytes=55845",80_delivery/osen_integrated_site_selection_report_20260606.docx
IMPL-134,files,error,pass,"40_quality_evidence/osen_integrated_report_docx_audit_20260606.json exists=True, bytes=991",40_quality_evidence/osen_integrated_report_docx_audit_20260606.json
IMPL-135,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_docx_render_20260606.json exists=False, bytes=0. Reason: 0606 render outputs superseded by current 0607 render/contact-sheet evidence.",40_quality_evidence/osen_report_docx_render_20260606.json
IMPL-136,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_docx_render_20260606.md exists=False, bytes=0. Reason: 0606 render outputs superseded by current 0607 render/contact-sheet evidence.",40_quality_evidence/osen_report_docx_render_20260606.md
IMPL-137,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_docx_render_20260606/page_01.png exists=False, bytes=0. Reason: 0606 render outputs superseded by current 0607 render/contact-sheet evidence.",40_quality_evidence/osen_report_docx_render_20260606/page_01.png
IMPL-138,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_docx_render_20260606/page_06.png exists=False, bytes=0. Reason: 0606 render outputs superseded by current 0607 render/contact-sheet evidence.",40_quality_evidence/osen_report_docx_render_20260606/page_06.png
IMPL-139,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_report_docx_render_20260606/page_18.png exists=False, bytes=0. Reason: 0606 render outputs superseded by current 0607 render/contact-sheet evidence.",40_quality_evidence/osen_report_docx_render_20260606/page_18.png
IMPL-140,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_docx_delivery_validation_20260606.json exists=False, bytes=0. Reason: 0606 DOCX delivery validation superseded by current 0607 client download audit.",40_quality_evidence/osen_docx_delivery_validation_20260606.json
IMPL-141,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 40_quality_evidence/osen_docx_delivery_validation_20260606.md exists=False, bytes=0. Reason: 0606 DOCX delivery validation superseded by current 0607 client download audit.",40_quality_evidence/osen_docx_delivery_validation_20260606.md
IMPL-142,files,error,pass,"80_delivery/site_selection_gap_report_latest.json exists=True, bytes=83621",80_delivery/site_selection_gap_report_latest.json
IMPL-143,files,error,pass,"80_delivery/site_selection_gap_report_latest.md exists=True, bytes=42374",80_delivery/site_selection_gap_report_latest.md
IMPL-144,files,error,pass,"40_quality_evidence/deepseek_orchestration_validation_20260605.json exists=True, bytes=1720",40_quality_evidence/deepseek_orchestration_validation_20260605.json
IMPL-145,files,error,pass,"40_quality_evidence/deepseek_orchestration_validation_20260605.md exists=True, bytes=1454",40_quality_evidence/deepseek_orchestration_validation_20260605.md
IMPL-146,files,error,pass,"10_research/ai_design_2026_openalex_raw_20260604.json exists=True, bytes=144852",10_research/ai_design_2026_openalex_raw_20260604.json
IMPL-147,files,error,pass,"10_research/ai_design_2026_semantic_scholar_raw_20260604.json exists=True, bytes=24393",10_research/ai_design_2026_semantic_scholar_raw_20260604.json
IMPL-148,files,error,pass,"10_research/ai_design_2026_arxiv_raw_20260604.json exists=True, bytes=873",10_research/ai_design_2026_arxiv_raw_20260604.json
IMPL-149,files,error,pass,"30_extraction/scripts/audit_project_context_and_legacy_risks.py exists=True, bytes=13482",30_extraction/scripts/audit_project_context_and_legacy_risks.py
IMPL-150,files,error,pass,"30_extraction/scripts/audit_method_model_landing_coverage.py exists=True, bytes=14257",30_extraction/scripts/audit_method_model_landing_coverage.py
IMPL-151,files,error,pass,"40_quality_evidence/project_context_legacy_risk_audit_20260605.json exists=True, bytes=59218",40_quality_evidence/project_context_legacy_risk_audit_20260605.json
IMPL-152,files,error,pass,"40_quality_evidence/project_context_legacy_risk_audit_20260605.md exists=True, bytes=18791",40_quality_evidence/project_context_legacy_risk_audit_20260605.md
IMPL-153,files,error,pass,"40_quality_evidence/method_model_landing_coverage_20260605.json exists=True, bytes=17035",40_quality_evidence/method_model_landing_coverage_20260605.json
IMPL-154,files,error,pass,"40_quality_evidence/method_model_landing_coverage_20260605.md exists=True, bytes=9506",40_quality_evidence/method_model_landing_coverage_20260605.md
IMPL-155,files,warning,warn,"superseded baseline artifact; current gate uses 2026-06-09 evidence. Original: 30_extraction/scripts/build_person_simulation_accuracy_requirements.py exists=False, bytes=0. Reason: 0605/0607 feature derivative package is superseded by current controlled_feature_scene_context and real_calibration_context checks.",30_extraction/scripts/build_person_simulation_accuracy_requirements.py
