check_id,group,severity,status,finding,evidence
IMPL-022,files,error,pass,"60_model/scripts/run_deepseek_p0_detail_query_plan.py exists=True, bytes=12077",60_model/scripts/run_deepseek_p0_detail_query_plan.py
IMPL-023,files,error,pass,"60_model/scripts/review_deepseek_p0_detail_query_plan.py exists=True, bytes=5125",60_model/scripts/review_deepseek_p0_detail_query_plan.py
IMPL-024,files,error,pass,"60_model/scripts/run_deepseek_p0_field_verification_checklist.py exists=True, bytes=14265",60_model/scripts/run_deepseek_p0_field_verification_checklist.py
IMPL-025,files,error,pass,"60_model/scripts/review_deepseek_p0_field_verification_checklist.py exists=True, bytes=6031",60_model/scripts/review_deepseek_p0_field_verification_checklist.py
IMPL-026,files,error,pass,"60_model/llm_runs/deepseek_table_classification_raw.jsonl exists=True, bytes=142104",60_model/llm_runs/deepseek_table_classification_raw.jsonl
IMPL-027,files,error,pass,"60_model/llm_runs/deepseek_table_classification_progress.json exists=True, bytes=172",60_model/llm_runs/deepseek_table_classification_progress.json
IMPL-028,files,error,pass,"60_model/llm_runs/deepseek_evidence_candidates_raw.jsonl exists=True, bytes=300288",60_model/llm_runs/deepseek_evidence_candidates_raw.jsonl
IMPL-029,files,error,pass,"60_model/llm_runs/deepseek_evidence_candidates_progress.json exists=True, bytes=222",60_model/llm_runs/deepseek_evidence_candidates_progress.json
IMPL-030,files,error,pass,"60_model/llm_runs/deepseek_entrance_node_semantic_raw.jsonl exists=True, bytes=20680",60_model/llm_runs/deepseek_entrance_node_semantic_raw.jsonl
IMPL-031,files,error,pass,"60_model/llm_runs/deepseek_entrance_node_semantic_progress.json exists=True, bytes=190",60_model/llm_runs/deepseek_entrance_node_semantic_progress.json
IMPL-032,files,error,pass,"60_model/llm_runs/deepseek_p0_verification_package_raw.jsonl exists=True, bytes=8146",60_model/llm_runs/deepseek_p0_verification_package_raw.jsonl
IMPL-033,files,error,pass,"60_model/llm_runs/deepseek_p0_verification_package_progress.json exists=True, bytes=165",60_model/llm_runs/deepseek_p0_verification_package_progress.json
IMPL-034,files,error,pass,"60_model/llm_runs/deepseek_project_context_sync_raw.jsonl exists=True, bytes=7996",60_model/llm_runs/deepseek_project_context_sync_raw.jsonl
IMPL-035,files,error,pass,"60_model/llm_runs/deepseek_project_context_sync_progress.json exists=True, bytes=215",60_model/llm_runs/deepseek_project_context_sync_progress.json
IMPL-036,files,error,pass,"60_model/llm_runs/deepseek_project_context_sync_latest.json exists=True, bytes=7684",60_model/llm_runs/deepseek_project_context_sync_latest.json
IMPL-037,files,error,pass,"60_model/llm_runs/deepseek_p0_detail_query_plan_raw.jsonl exists=True, bytes=4625",60_model/llm_runs/deepseek_p0_detail_query_plan_raw.jsonl
IMPL-038,files,error,pass,"60_model/llm_runs/deepseek_p0_detail_query_plan_progress.json exists=True, bytes=198",60_model/llm_runs/deepseek_p0_detail_query_plan_progress.json
IMPL-039,files,error,pass,"60_model/llm_runs/deepseek_p0_field_verification_checklist_raw.jsonl exists=True, bytes=10320",60_model/llm_runs/deepseek_p0_field_verification_checklist_raw.jsonl
IMPL-040,files,error,pass,"60_model/llm_runs/deepseek_p0_field_verification_checklist_progress.json exists=True, bytes=201",60_model/llm_runs/deepseek_p0_field_verification_checklist_progress.json
IMPL-041,files,error,pass,"30_extraction/tables/pdf_table_topic_draft_deepseek.csv exists=True, bytes=112578",30_extraction/tables/pdf_table_topic_draft_deepseek.csv
IMPL-042,files,error,pass,"30_extraction/tables/pdf_table_review_queue.csv exists=True, bytes=164277",30_extraction/tables/pdf_table_review_queue.csv
IMPL-043,files,error,pass,"30_extraction/tables/pdf_table_evidence_candidates_deepseek.csv exists=True, bytes=237957",30_extraction/tables/pdf_table_evidence_candidates_deepseek.csv
IMPL-044,files,error,pass,"30_extraction/tables/pdf_evidence_candidate_review_queue.csv exists=True, bytes=255144",30_extraction/tables/pdf_evidence_candidate_review_queue.csv
IMPL-045,files,error,pass,"40_quality_evidence/deepseek_table_classification_report.md exists=True, bytes=997",40_quality_evidence/deepseek_table_classification_report.md
IMPL-046,files,error,pass,"40_quality_evidence/deepseek_table_classification_review.csv exists=True, bytes=859",40_quality_evidence/deepseek_table_classification_review.csv
IMPL-047,files,error,pass,"40_quality_evidence/deepseek_table_classification_review.md exists=True, bytes=1792",40_quality_evidence/deepseek_table_classification_review.md
IMPL-048,files,error,pass,"40_quality_evidence/deepseek_evidence_candidates_report.md exists=True, bytes=958",40_quality_evidence/deepseek_evidence_candidates_report.md
IMPL-049,files,error,pass,"40_quality_evidence/deepseek_evidence_candidates_review.csv exists=True, bytes=1210",40_quality_evidence/deepseek_evidence_candidates_review.csv
IMPL-050,files,error,pass,"40_quality_evidence/deepseek_evidence_candidates_review.md exists=True, bytes=2602",40_quality_evidence/deepseek_evidence_candidates_review.md
IMPL-051,files,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_semantic_draft_deepseek.csv exists=True, bytes=23702",50_external_gis/amap_routes/amap_p0_entrance_node_semantic_draft_deepseek.csv
IMPL-052,files,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_semantic_review_queue.csv exists=True, bytes=21307",50_external_gis/amap_routes/amap_p0_entrance_node_semantic_review_queue.csv
IMPL-053,files,error,pass,"40_quality_evidence/deepseek_entrance_node_semantic_report.md exists=True, bytes=841",40_quality_evidence/deepseek_entrance_node_semantic_report.md
IMPL-054,files,error,pass,"40_quality_evidence/deepseek_entrance_node_semantic_review.csv exists=True, bytes=1411",40_quality_evidence/deepseek_entrance_node_semantic_review.csv
IMPL-055,files,error,pass,"40_quality_evidence/deepseek_entrance_node_semantic_review.md exists=True, bytes=3520",40_quality_evidence/deepseek_entrance_node_semantic_review.md
IMPL-056,files,error,pass,"70_outputs/processed_tables/p0_manual_verification_package_deepseek.csv exists=True, bytes=10851",70_outputs/processed_tables/p0_manual_verification_package_deepseek.csv
IMPL-057,files,error,pass,"40_quality_evidence/deepseek_p0_verification_package_report.md exists=True, bytes=676",40_quality_evidence/deepseek_p0_verification_package_report.md
IMPL-058,files,error,pass,"40_quality_evidence/deepseek_p0_verification_package_review.csv exists=True, bytes=741",40_quality_evidence/deepseek_p0_verification_package_review.csv
IMPL-059,files,error,pass,"40_quality_evidence/deepseek_p0_verification_package_review.md exists=True, bytes=562",40_quality_evidence/deepseek_p0_verification_package_review.md
IMPL-060,files,error,pass,"70_outputs/processed_tables/deepseek_first_task_queue.csv exists=True, bytes=3115",70_outputs/processed_tables/deepseek_first_task_queue.csv
IMPL-061,files,error,pass,"40_quality_evidence/deepseek_project_context_sync_report.md exists=True, bytes=587",40_quality_evidence/deepseek_project_context_sync_report.md
IMPL-062,files,error,pass,"40_quality_evidence/deepseek_project_context_sync_review.csv exists=True, bytes=807",40_quality_evidence/deepseek_project_context_sync_review.csv
IMPL-063,files,error,pass,"40_quality_evidence/deepseek_project_context_sync_review.md exists=True, bytes=360",40_quality_evidence/deepseek_project_context_sync_review.md
IMPL-064,files,error,pass,"50_external_gis/amap_poi/amap_p0_detail_query_plan_deepseek.csv exists=True, bytes=4989",50_external_gis/amap_poi/amap_p0_detail_query_plan_deepseek.csv
IMPL-065,files,error,pass,"40_quality_evidence/deepseek_p0_detail_query_plan_report.md exists=True, bytes=571",40_quality_evidence/deepseek_p0_detail_query_plan_report.md
IMPL-066,files,error,pass,"40_quality_evidence/deepseek_p0_detail_query_plan_review.csv exists=True, bytes=1112",40_quality_evidence/deepseek_p0_detail_query_plan_review.csv
IMPL-067,files,error,pass,"40_quality_evidence/deepseek_p0_detail_query_plan_review.md exists=True, bytes=380",40_quality_evidence/deepseek_p0_detail_query_plan_review.md
IMPL-068,files,error,pass,"70_outputs/processed_tables/p0_business_field_fill_amap.csv exists=True, bytes=2636",70_outputs/processed_tables/p0_business_field_fill_amap.csv
IMPL-069,files,error,pass,"70_outputs/processed_tables/poi_supply_p0_followup_worklist_enriched.csv exists=True, bytes=8981",70_outputs/processed_tables/poi_supply_p0_followup_worklist_enriched.csv
IMPL-070,files,error,pass,"70_outputs/processed_tables/p0_field_verification_checklist_deepseek.csv exists=True, bytes=39418",70_outputs/processed_tables/p0_field_verification_checklist_deepseek.csv
IMPL-071,files,error,pass,"40_quality_evidence/deepseek_p0_field_verification_checklist_report.md exists=True, bytes=789",40_quality_evidence/deepseek_p0_field_verification_checklist_report.md
IMPL-072,files,error,pass,"40_quality_evidence/deepseek_p0_field_verification_checklist_review.csv exists=True, bytes=1383",40_quality_evidence/deepseek_p0_field_verification_checklist_review.csv
IMPL-073,files,error,pass,"40_quality_evidence/deepseek_p0_field_verification_checklist_review.md exists=True, bytes=461",40_quality_evidence/deepseek_p0_field_verification_checklist_review.md
IMPL-074,files,error,pass,"10_research/github_tech_shrimp/github_import_plan.md exists=True, bytes=2746",10_research/github_tech_shrimp/github_import_plan.md
IMPL-075,files,error,pass,"10_research/github_tech_shrimp/tech_shrimp_assessment.md exists=True, bytes=7462",10_research/github_tech_shrimp/tech_shrimp_assessment.md
IMPL-076,files,error,pass,"10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.csv exists=True, bytes=8034",10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.csv
IMPL-077,files,error,pass,"10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.json exists=True, bytes=15627",10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.json
IMPL-078,files,error,pass,"10_research/github_tech_shrimp/fork_results_20260523.csv exists=True, bytes=2827",10_research/github_tech_shrimp/fork_results_20260523.csv
IMPL-079,files,error,pass,"10_research/github_tech_shrimp/archive_repo_README.md exists=True, bytes=2122",10_research/github_tech_shrimp/archive_repo_README.md
IMPL-080,files,error,pass,"40_quality_evidence/evidence_ledger.csv exists=True, bytes=174488",40_quality_evidence/evidence_ledger.csv
IMPL-081,files,error,pass,"30_extraction/scripts/build_second_evidence_ledger.py exists=True, bytes=13978",30_extraction/scripts/build_second_evidence_ledger.py
IMPL-082,files,error,pass,"40_quality_evidence/second_evidence_ledger_review.csv exists=True, bytes=7279",40_quality_evidence/second_evidence_ledger_review.csv
IMPL-083,files,error,pass,"40_quality_evidence/second_evidence_ledger_report.md exists=True, bytes=1481",40_quality_evidence/second_evidence_ledger_report.md
IMPL-084,files,error,pass,"70_outputs/processed_tables/poi_supply_base.csv exists=True, bytes=7552",70_outputs/processed_tables/poi_supply_base.csv
IMPL-085,files,error,pass,"50_external_gis/amap_poi/amap_poi_query_plan.csv exists=True, bytes=4180",50_external_gis/amap_poi/amap_poi_query_plan.csv
IMPL-086,files,error,pass,"50_external_gis/scripts/build_amap_spatial_precheck.py exists=True, bytes=13849",50_external_gis/scripts/build_amap_spatial_precheck.py
IMPL-087,files,error,pass,"50_external_gis/scripts/fetch_osm_park_boundaries.py exists=True, bytes=6544",50_external_gis/scripts/fetch_osm_park_boundaries.py
IMPL-088,files,error,pass,"50_external_gis/scripts/build_amap_boundary_filter.py exists=True, bytes=9501",50_external_gis/scripts/build_amap_boundary_filter.py
IMPL-089,files,error,pass,"50_external_gis/scripts/build_in_park_candidate_review.py exists=True, bytes=9691",50_external_gis/scripts/build_in_park_candidate_review.py
IMPL-090,files,error,pass,"50_external_gis/scripts/build_p0_in_park_followup_worklist.py exists=True, bytes=11952",50_external_gis/scripts/build_p0_in_park_followup_worklist.py
IMPL-091,files,error,pass,"50_external_gis/scripts/fetch_amap_p0_routes.py exists=True, bytes=12786",50_external_gis/scripts/fetch_amap_p0_routes.py
IMPL-092,files,error,pass,"50_external_gis/scripts/fetch_amap_p0_entrance_routes.py exists=True, bytes=22422",50_external_gis/scripts/fetch_amap_p0_entrance_routes.py
IMPL-093,files,error,pass,"50_external_gis/scripts/run_amap_smoke_test.py exists=True, bytes=3464",50_external_gis/scripts/run_amap_smoke_test.py
IMPL-094,files,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap.csv exists=True, bytes=120187",70_outputs/processed_tables/poi_supply_candidates_amap.csv
IMPL-095,files,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv exists=True, bytes=186806",70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-096,files,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap_boundary_filter.csv exists=True, bytes=247111",70_outputs/processed_tables/poi_supply_candidates_amap_boundary_filter.csv
IMPL-097,files,error,pass,"70_outputs/processed_tables/poi_supply_in_park_candidate_review.csv exists=True, bytes=25827",70_outputs/processed_tables/poi_supply_in_park_candidate_review.csv
IMPL-098,files,error,pass,"70_outputs/processed_tables/poi_supply_p0_followup_worklist.csv exists=True, bytes=7426",70_outputs/processed_tables/poi_supply_p0_followup_worklist.csv
IMPL-099,files,error,pass,"70_outputs/processed_tables/poi_supply_p0_route_access_review.csv exists=True, bytes=10123",70_outputs/processed_tables/poi_supply_p0_route_access_review.csv
IMPL-100,files,error,pass,"50_external_gis/amap_poi/amap_refetch_followup_plan.csv exists=True, bytes=5348",50_external_gis/amap_poi/amap_refetch_followup_plan.csv
IMPL-101,files,error,pass,"50_external_gis/amap_routes/amap_p0_route_fetch_log.csv exists=True, bytes=2288",50_external_gis/amap_routes/amap_p0_route_fetch_log.csv
IMPL-102,files,error,pass,"50_external_gis/amap_routes/amap_p0_route_results.csv exists=True, bytes=3247",50_external_gis/amap_routes/amap_p0_route_results.csv
IMPL-103,files,error,pass,"50_external_gis/amap_routes/p0_entrance_node_query_plan.csv exists=True, bytes=1697",50_external_gis/amap_routes/p0_entrance_node_query_plan.csv
IMPL-104,files,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_candidates.csv exists=True, bytes=21640",50_external_gis/amap_routes/amap_p0_entrance_node_candidates.csv
IMPL-105,files,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_fetch_log.csv exists=True, bytes=15078",50_external_gis/amap_routes/amap_p0_entrance_node_fetch_log.csv
IMPL-106,files,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_route_results.csv exists=True, bytes=13775",50_external_gis/amap_routes/amap_p0_entrance_node_route_results.csv
IMPL-107,files,error,pass,"70_outputs/processed_tables/poi_supply_p0_entrance_route_review.csv exists=True, bytes=10717",70_outputs/processed_tables/poi_supply_p0_entrance_route_review.csv
IMPL-108,files,error,pass,"50_external_gis/amap_smoke_tests/amap_smoke_test_latest.json exists=True, bytes=387",50_external_gis/amap_smoke_tests/amap_smoke_test_latest.json
IMPL-109,files,error,pass,"50_external_gis/boundaries/osm_park_boundaries.geojson exists=True, bytes=22941",50_external_gis/boundaries/osm_park_boundaries.geojson
IMPL-110,files,error,pass,"50_external_gis/boundaries/osm_park_boundary_fetch_log.csv exists=True, bytes=1041",50_external_gis/boundaries/osm_park_boundary_fetch_log.csv
IMPL-111,files,error,pass,"40_quality_evidence/amap_spatial_precheck_report.md exists=True, bytes=1948",40_quality_evidence/amap_spatial_precheck_report.md
IMPL-112,files,error,pass,"40_quality_evidence/osm_boundary_report.md exists=True, bytes=759",40_quality_evidence/osm_boundary_report.md
IMPL-113,files,error,pass,"40_quality_evidence/amap_boundary_filter_report.md exists=True, bytes=1423",40_quality_evidence/amap_boundary_filter_report.md
IMPL-114,files,error,pass,"40_quality_evidence/in_park_candidate_review_report.md exists=True, bytes=1565",40_quality_evidence/in_park_candidate_review_report.md
IMPL-115,files,error,pass,"40_quality_evidence/p0_in_park_followup_worklist_report.md exists=True, bytes=1178",40_quality_evidence/p0_in_park_followup_worklist_report.md
IMPL-116,files,error,pass,"40_quality_evidence/p0_route_access_review_report.md exists=True, bytes=987",40_quality_evidence/p0_route_access_review_report.md
IMPL-117,files,error,pass,"40_quality_evidence/p0_entrance_route_review_report.md exists=True, bytes=1184",40_quality_evidence/p0_entrance_route_review_report.md
IMPL-118,data,error,pass,"40_quality_evidence/data_catalog.csv rows=4, expected=4",40_quality_evidence/data_catalog.csv
IMPL-119,data,error,pass,"40_quality_evidence/source_profile.csv rows=4, expected=4",40_quality_evidence/source_profile.csv
IMPL-120,data,error,pass,"30_extraction/tables/keyword_hits.csv rows=1594, expected=1594",30_extraction/tables/keyword_hits.csv
IMPL-121,data,error,pass,"30_extraction/tables/pdf_native_tables_summary.csv rows=329, expected=329",30_extraction/tables/pdf_native_tables_summary.csv
IMPL-122,data,error,pass,"40_quality_evidence/evidence_ledger.csv rows=260, expected=260",40_quality_evidence/evidence_ledger.csv
IMPL-123,data,error,pass,"40_quality_evidence/second_evidence_ledger_review.csv rows=216, expected=216",40_quality_evidence/second_evidence_ledger_review.csv
IMPL-124,data,error,pass,"70_outputs/processed_tables/poi_supply_base.csv rows=20, expected=20",70_outputs/processed_tables/poi_supply_base.csv
IMPL-125,data,error,pass,"50_external_gis/amap_poi/amap_poi_query_plan.csv rows=24, expected=24",50_external_gis/amap_poi/amap_poi_query_plan.csv
IMPL-126,data,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap.csv rows=227, expected=227",70_outputs/processed_tables/poi_supply_candidates_amap.csv
IMPL-127,data,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv rows=227, expected=227",70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-128,data,error,pass,"70_outputs/processed_tables/poi_supply_candidates_amap_boundary_filter.csv rows=227, expected=227",70_outputs/processed_tables/poi_supply_candidates_amap_boundary_filter.csv
IMPL-129,data,error,pass,"70_outputs/processed_tables/poi_supply_in_park_candidate_review.csv rows=26, expected=26",70_outputs/processed_tables/poi_supply_in_park_candidate_review.csv
IMPL-130,data,error,pass,"70_outputs/processed_tables/poi_supply_p0_followup_worklist.csv rows=7, expected=7",70_outputs/processed_tables/poi_supply_p0_followup_worklist.csv
IMPL-131,data,error,pass,"50_external_gis/amap_routes/amap_p0_route_results.csv rows=7, expected=7",50_external_gis/amap_routes/amap_p0_route_results.csv
IMPL-132,data,error,pass,"50_external_gis/amap_routes/amap_p0_route_fetch_log.csv rows=7, expected=7",50_external_gis/amap_routes/amap_p0_route_fetch_log.csv
IMPL-133,data,error,pass,"70_outputs/processed_tables/poi_supply_p0_route_access_review.csv rows=7, expected=7",70_outputs/processed_tables/poi_supply_p0_route_access_review.csv
IMPL-134,data,error,pass,"50_external_gis/amap_routes/p0_entrance_node_query_plan.csv rows=12, expected=12",50_external_gis/amap_routes/p0_entrance_node_query_plan.csv
IMPL-135,data,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_candidates.csv rows=45, expected=45",50_external_gis/amap_routes/amap_p0_entrance_node_candidates.csv
IMPL-136,data,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_fetch_log.csv rows=40, expected=40",50_external_gis/amap_routes/amap_p0_entrance_node_fetch_log.csv
IMPL-137,data,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_route_results.csv rows=28, expected=28",50_external_gis/amap_routes/amap_p0_entrance_node_route_results.csv
IMPL-138,data,error,pass,"70_outputs/processed_tables/poi_supply_p0_entrance_route_review.csv rows=7, expected=7",70_outputs/processed_tables/poi_supply_p0_entrance_route_review.csv
IMPL-139,data,error,pass,"50_external_gis/amap_poi/amap_refetch_followup_plan.csv rows=17, expected=17",50_external_gis/amap_poi/amap_refetch_followup_plan.csv
IMPL-140,data,error,pass,"50_external_gis/boundaries/osm_park_boundary_fetch_log.csv rows=2, expected=2",50_external_gis/boundaries/osm_park_boundary_fetch_log.csv
IMPL-141,data,error,pass,"60_model/configs/llm_task_routing.csv rows=15, expected=15",60_model/configs/llm_task_routing.csv
IMPL-142,llm,error,pass,"30_extraction/tables/pdf_table_topic_draft_deepseek.csv rows=329, expected=329",30_extraction/tables/pdf_table_topic_draft_deepseek.csv
IMPL-143,llm,error,pass,"30_extraction/tables/pdf_table_review_queue.csv rows=329, expected=329",30_extraction/tables/pdf_table_review_queue.csv
IMPL-144,llm,error,pass,"40_quality_evidence/deepseek_table_classification_review.csv rows=8, expected=8",40_quality_evidence/deepseek_table_classification_review.csv
IMPL-145,llm,error,pass,"30_extraction/tables/pdf_table_evidence_candidates_deepseek.csv rows=592, expected=592",30_extraction/tables/pdf_table_evidence_candidates_deepseek.csv
IMPL-146,llm,error,pass,"30_extraction/tables/pdf_evidence_candidate_review_queue.csv rows=592, expected=592",30_extraction/tables/pdf_evidence_candidate_review_queue.csv
IMPL-147,llm,error,pass,"40_quality_evidence/deepseek_evidence_candidates_review.csv rows=12, expected=12",40_quality_evidence/deepseek_evidence_candidates_review.csv
IMPL-148,llm,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_semantic_draft_deepseek.csv rows=45, expected=45",50_external_gis/amap_routes/amap_p0_entrance_node_semantic_draft_deepseek.csv
IMPL-149,llm,error,pass,"50_external_gis/amap_routes/amap_p0_entrance_node_semantic_review_queue.csv rows=45, expected=45",50_external_gis/amap_routes/amap_p0_entrance_node_semantic_review_queue.csv
IMPL-150,llm,error,pass,"40_quality_evidence/deepseek_entrance_node_semantic_review.csv rows=10, expected=10",40_quality_evidence/deepseek_entrance_node_semantic_review.csv
IMPL-151,llm,error,pass,"70_outputs/processed_tables/p0_manual_verification_package_deepseek.csv rows=7, expected=7",70_outputs/processed_tables/p0_manual_verification_package_deepseek.csv
IMPL-152,llm,error,pass,"40_quality_evidence/deepseek_p0_verification_package_review.csv rows=8, expected=8",40_quality_evidence/deepseek_p0_verification_package_review.csv
IMPL-153,llm,error,pass,"70_outputs/processed_tables/deepseek_first_task_queue.csv rows=6, expected=6",70_outputs/processed_tables/deepseek_first_task_queue.csv
IMPL-154,llm,error,pass,"40_quality_evidence/deepseek_project_context_sync_review.csv rows=6, expected=6",40_quality_evidence/deepseek_project_context_sync_review.csv
IMPL-155,llm,error,pass,"50_external_gis/amap_poi/amap_p0_detail_query_plan_deepseek.csv rows=7, expected=7",50_external_gis/amap_poi/amap_p0_detail_query_plan_deepseek.csv
IMPL-156,llm,error,pass,"40_quality_evidence/deepseek_p0_detail_query_plan_review.csv rows=11, expected=11",40_quality_evidence/deepseek_p0_detail_query_plan_review.csv
IMPL-157,data,error,pass,"70_outputs/processed_tables/p0_business_field_fill_amap.csv rows=7, expected=7",70_outputs/processed_tables/p0_business_field_fill_amap.csv
IMPL-158,data,error,pass,"70_outputs/processed_tables/poi_supply_p0_followup_worklist_enriched.csv rows=7, expected=7",70_outputs/processed_tables/poi_supply_p0_followup_worklist_enriched.csv
IMPL-159,llm,error,pass,"70_outputs/processed_tables/p0_field_verification_checklist_deepseek.csv rows=34, expected=34",70_outputs/processed_tables/p0_field_verification_checklist_deepseek.csv
IMPL-160,llm,error,pass,"40_quality_evidence/deepseek_p0_field_verification_checklist_review.csv rows=11, expected=11",40_quality_evidence/deepseek_p0_field_verification_checklist_review.csv
IMPL-161,github,error,pass,"10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.csv rows=25, expected=25",10_research/github_tech_shrimp/tech_shrimp_repos_gh_api_20260523.csv
IMPL-162,github,error,pass,"10_research/github_tech_shrimp/fork_results_20260523.csv rows=25, expected=25",10_research/github_tech_shrimp/fork_results_20260523.csv
IMPL-163,data,error,pass,evidence checked rows=245,40_quality_evidence/evidence_ledger.csv
IMPL-164,data,warning,pass,presentation_assumption rows=15,40_quality_evidence/evidence_ledger.csv
IMPL-165,data,error,pass,source_report_pdf rows=245,40_quality_evidence/evidence_ledger.csv
IMPL-166,data,error,pass,second batch evidence rows=208,40_quality_evidence/evidence_ledger.csv
IMPL-167,data,error,pass,"second evidence review counts={'added': 208, 'skipped_existing_first_batch': 8}",40_quality_evidence/second_evidence_ledger_review.csv
IMPL-168,data,error,pass,poi_supply_base pending verification rows=20/20,70_outputs/processed_tables/poi_supply_base.csv
IMPL-169,data,error,pass,grid coffee name keeps English space,70_outputs/processed_tables/poi_supply_base.csv
IMPL-170,data,error,pass,amap query categories=10,50_external_gis/amap_poi/amap_poi_query_plan.csv
IMPL-171,data,error,pass,spatial precheck rows match candidates=227/227,70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-172,data,error,pass,spatial precheck supply use counts={'do_not_use_as_in_park_supply_yet': 227},70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-173,data,error,pass,spatial precheck boundary counts={'needs_polygon_or_field_verification': 227},70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-174,data,info,pass,"spatial precheck status counts={'edge_or_adjacent_needs_boundary_confirmation': 25, 'near_core_needs_boundary_confirmation': 2, 'park_context_needs_boundary_confirmation': 31, 'pdf_seed_matched_needs_boundary_confirmation': 3, 'surrounding_competition_candidate': 166}",70_outputs/processed_tables/poi_supply_candidates_amap_spatial_precheck.csv
IMPL-175,data,error,pass,"amap follow-up issue counts={'zero_result': 8, 'page_size_cap': 9}",50_external_gis/amap_poi/amap_refetch_followup_plan.csv
IMPL-176,security,error,pass,amap follow-up requires key counts={'yes': 17},50_external_gis/amap_poi/amap_refetch_followup_plan.csv
