table_id,source_file,page,table_index,row_count,column_count,topic_draft,topic_confidence,reason_draft,evidence_keywords_draft,output_status,executor,model,review_gate,llm_task_id,run_id
TBL-00043,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,47,1,11,2,origin_residence_work,high,表格展示家乡地占比，反映客群来源城市分布。,"家乡地, 北京市-北京市, 河北省-廊坊市",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00044,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,48,1,11,2,origin_residence_work,high,表格展示常驻城市占比，反映客群常住地分布。,"常驻城市, 北京市-北京市, 河北省-廊坊市",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00045,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,49,1,10,4,demographic_profile,high,表格对比居住社区房价占比与北京市大盘TGI，属于人群住房特征画像。,"居住社区房价, TGI, 40000-59999",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00046,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,50,1,6,4,consumption_spending,high,表格展示全国消费水平分层占比与TGI，属于消费能力分析。,"全国消费水平, 高, 次高, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00047,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,51,1,11,4,tgi_preference,high,表格展示到访4S店品牌人群覆盖度与TGI，体现品牌偏好指数。,"到访4S店品牌, 人群覆盖度, 奔驰, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00048,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,52,1,4,4,origin_residence_work,medium,表格展示通勤方式占比与TGI，反映人群出行通勤特征。,"通勤方式, 公交, 自驾, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00049,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,53,1,8,4,consumption_spending,high,表格展示餐饮消费水平分层占比与TGI，属于消费行为数据。,"餐饮消费水平, 101-150元, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00050,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,54,1,3,4,demographic_profile,high,表格展示是否有车占比与TGI，属于人口属性特征。,"是否有车, 占比, 北京市大盘, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00051,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,55,1,7,4,tgi_preference,high,表格展示餐饮消费频次的占比与TGI指数，反映客群消费频次偏好。,"['餐饮消费频次', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00052,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,56,1,6,4,tgi_preference,high,表格展示城市消费水平分层的占比与TGI指数，反映消费水平偏好。,"['城市消费水平v2', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00053,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,57,1,11,4,demographic_profile,high,表格展示居住社区房价细分占比与TGI，属于人口画像中的房产特征。,"['居住社区房价细分', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00054,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,58,1,6,4,consumption_spending,high,表格展示酒店消费价格等级的占比与TGI，属于消费支出水平分析。,"['酒店消费价格等级', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00055,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,59,1,10,4,consumption_spending,high,表格展示酒店消费金额区间的占比与TGI，属于消费支出明细。,"['酒店消费水平', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00056,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,60,1,7,4,tgi_preference,high,表格展示商场到店频次的占比与TGI，反映客群到访偏好。,"['商场到店频次', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00057,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,61,1,6,4,demographic_profile,high,表格展示居住社区房价等级的占比与TGI，属于人口画像中的住房水平。,"['居住社区房价等级', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00058,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,1,11,4,time_peak,high,表格展示出游月份的人群覆盖度与TGI，反映时间维度的出行高峰。,"['出游月份', '人群覆盖度', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00059,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,63,1,3,4,tgi_preference,high,表格展示出国游占比、北京市大盘及TGI指数，反映偏好强度。,"TGI, 占比, 大盘, 出国游",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00060,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,64,1,5,4,tgi_preference,high,表格展示旅游距离占比、大盘及TGI，体现不同距离偏好。,"TGI, 占比, 大盘, 旅游距离, 长途",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00061,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,65,1,3,4,tgi_preference,high,表格展示差旅常客占比、大盘及TGI，属于出行特征偏好。,"TGI, 占比, 大盘, 差旅常客",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00062,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,66,1,6,4,tgi_preference,high,表格展示酒店宾馆人群覆盖度、大盘及TGI，反映住宿偏好。,"TGI, 人群覆盖度, 大盘, 星级酒店, 经济型酒店",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00063,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,67,1,11,4,tgi_preference,high,表格展示医疗保健设施人群覆盖度、大盘及TGI，属于生活服务偏好。,"TGI, 人群覆盖度, 大盘, 综合医院, 药房药店",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00064,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,68,1,11,4,tgi_preference,high,表格展示运动健身场所覆盖度、大盘及TGI，反映运动偏好。,"TGI, 人群覆盖度, 大盘, 高尔夫场, 健身中心",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00065,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,69,1,11,4,tgi_preference,high,表格展示旅游景点覆盖度、大盘及TGI，体现景点偏好。,"TGI, 人群覆盖度, 大盘, 公园, 风景名胜",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00066,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,70,1,11,4,tgi_preference,high,表格展示美食类型覆盖度、大盘及TGI，反映餐饮偏好。,"TGI, 人群覆盖度, 大盘, 小吃快餐, 火锅",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00067,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,71,1,7,4,tgi_preference,high,样本包含汽车相关类别的人群覆盖度、北京市大盘和TGI指数，属于TGI偏好分析。,汽车 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00068,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,72,1,11,4,tgi_preference,high,样本显示娱乐休闲细分类别的人群覆盖度、大盘值和TGI，典型TGI偏好分析。,娱乐休闲 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00069,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,73,1,8,4,tgi_preference,high,样本列出教育学校相关类别的人群覆盖度、大盘和TGI，属于TGI偏好。,教育学校 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00070,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,74,1,11,4,tgi_preference,high,样本为到访偏好大类的人群覆盖度、大盘和TGI，符合TGI偏好分析特征。,到访偏好大类 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00071,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,75,1,3,4,tgi_preference,high,样本涉及基础设施类别的人群覆盖度、大盘和TGI，属于TGI偏好。,基础设施 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00072,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,76,1,5,4,tgi_preference,high,样本展示健康相关人群覆盖度、大盘和TGI，是TGI偏好分析。,健康 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00073,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,77,1,11,4,tgi_preference,high,样本列出APP偏好大类的人群覆盖度、大盘和TGI，属于TGI偏好。,APP偏好大类 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00074,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,78,1,6,4,tgi_preference,high,样本包含旅游相关类别的人群覆盖度、大盘和TGI，是TGI偏好分析。,旅游 / 人群覆盖度 / 北京市大盘 / TGI,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00075,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,79,1,6,4,tgi_preference,high,表格展示视频应用人群覆盖度与北京市大盘对比及TGI指数，属于偏好分析。,"人群覆盖度, TGI, 在线视频",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00076,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,80,1,11,4,tgi_preference,high,表格展示游戏应用人群覆盖度对比及TGI指数，属于偏好分析。,"人群覆盖度, TGI, 休闲益智",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00077,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,81,1,7,4,tgi_preference,high,表格展示摄影相关应用人群覆盖度及TGI对比，属于偏好分析。,"人群覆盖度, TGI, 相机",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00078,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,82,1,11,4,tgi_preference,high,表格展示系统工具类应用覆盖度及TGI指数，属于偏好分析。,"人群覆盖度, TGI, 文件管理",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00079,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,83,1,8,4,tgi_preference,high,表格展示教育类应用人群覆盖度与大盘TGI对比，属于偏好分析。,"人群覆盖度, TGI, 语言学习",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00080,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,84,1,11,4,tgi_preference,high,表格展示生活服务类应用覆盖度及TGI指数，属于偏好分析。,"人群覆盖度, TGI, 汽车服务",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00081,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,85,1,11,4,tgi_preference,high,表格展示购物类应用覆盖度与TGI对比，属于偏好分析。,"人群覆盖度, TGI, 商城",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00082,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,86,1,11,4,tgi_preference,high,表格展示出行应用覆盖度与TGI指数对比，属于偏好分析。,"人群覆盖度, TGI, 地图",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00083,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,87,1,7,4,tgi_preference,high,表格展示社交类应用的人群覆盖度、北京市大盘及TGI指数，属于偏好指数分析,社交/人群覆盖度/TGI/聊天交友/个性空间,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00084,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,88,1,8,4,tgi_preference,high,表格展示理财类应用的人群覆盖度、北京市大盘及TGI指数,理财/人群覆盖度/TGI/手机银行/投资,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00085,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,89,1,7,4,tgi_preference,high,表格展示音乐类应用的人群覆盖度、北京市大盘及TGI指数,音乐/人群覆盖度/TGI/在线音乐/FM电台,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
