source_record_id,park_id,park_name,source_population_segment,source_file,source_page,source_table_id,source_rank,source_business_scope,poi_name,source_index,avg_cost_yuan,business_area,source_extra_info,source_kind,validation_status,confidence,notes
PDFSEED-0011,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,4,购物,罗森(奥林匹克森林公园北园店),2315,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0012,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,5,购物,思凯乐风尚俱乐部(北京奥林匹克公园店),1643,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0013,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,6,购物,三夫户外(奥森南门店),1000,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0014,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,30,TBL-00108,1,娱乐休闲,漫咖啡(国家网球中心店),2847,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0015,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,30,TBL-00108,2,娱乐休闲,爱伴·布鲁豪斯游乐场,2557,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0016,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,30,TBL-00108,3,娱乐休闲,动森咖啡,2247,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0017,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,30,TBL-00108,4,娱乐休闲,grid coffee(奥林匹克森林公园店),1857,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0018,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,31,TBL-00109,1,运动健身,国家网球中心莲花球场,3830,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0019,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,31,TBL-00109,2,运动健身,悦健达专项体能·康复·普拉提运动中心,1579,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0020,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,41,TBL-00119,1,美食,咿道南门涮肉(奥森店),2915,92,奥林匹克公园,人均消费92元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0021,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,41,TBL-00119,2,美食,新净雅(国家网球中心店),2733,231,奥林匹克公园,人均消费231元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0022,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,41,TBL-00119,3,美食,布鲁豪斯亲子欢乐家庭餐厅,1944,129,奥林匹克公园,人均消费129元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0023,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,1,购物,跑步俱乐部(奥林匹克森林公园店),3377,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0024,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,2,购物,罗森(奥林匹克森林公园北园店),3162,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0025,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,3,购物,圣维岚运动装备(奥森店),1886,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0026,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,4,购物,prince国网店,1643,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0027,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,5,购物,思凯乐风尚俱乐部(北京奥林匹克公园店),1579,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0028,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,43,TBL-00121,6,购物,大成仓网羽专业服务店(国网南区店)·球拍穿线,1322,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0029,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,45,TBL-00123,1,娱乐休闲,漫咖啡(国家网球中心店),2861,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0030,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,45,TBL-00123,2,娱乐休闲,动森咖啡,2350,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0031,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,45,TBL-00123,3,娱乐休闲,爱伴·布鲁豪斯游乐场,2201,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0032,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,45,TBL-00123,4,娱乐休闲,grid coffee(奥林匹克森林公园店),2100,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0033,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,46,TBL-00124,1,运动健身,国家网球中心莲花球场,4313,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0034,sample_olympic_forest,奥林匹克森林公园,flow_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,46,TBL-00124,2,运动健身,悦健达专项体能·康复·普拉提运动中心,1544,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
